frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
49,"452,571","451,771","-4,93815","24,6243","1,9483","0,198117","24,3192","33,6579","1,01807","0,994274","0,693878","-2,37512","-3,62262"
50,"452,194","451,417","-4,95239","24,6916","1,94853","0,202891","24,6308","34,7384","1,04099","0,994846","0,7","-2,39258","-3,62829"
51,"451,838","451,081","-5,00707","24,7377","1,9408","0,2023","24,6595","34,4943","1,04244","0,995362","0,686275","-2,39534","-3,62918"
52,"449,289","448,553","-5,041","24,746","1,93717","0,201222","24,5622","33,7696","1,03291","0,995825","0,673077","-2,38806","-3,62683"
53,"446,821","446,103","-4,58122","25,1241","1,97637","0,207208","25,5647","35,8144","1,49111","0,996243","0,679245","-2,62302","-3,69578"
54,"445,925","445,225","-4,62345","25,4287","1,97177","0,207343","25,7303","34,3887","1,46262","0,996619","0,685185","-2,60351","-3,69057"
55,"443,756","443,073","-4,67357","25,6549","1,9647","0,209487","25,5593","33,9663","1,44008","0,996957","0,672727","-2,58561","-3,6857"
56,"441,571","440,905","-4,71888","25,8179","1,95773","0,209195","25,3509","33,1942","1,41434","0,997261","0,678571","-2,54892","-3,6755"
57,"441,767","441,116","-4,7626","25,6489","1,95235","0,208015","25,1286","32,7743","1,39905","0,997535","0,666667","-2,53902","-3,6727"
58,"441,767","441,116","-4,79232","25,4367","1,9475","0,206025","25,0283","32,4622","1,38256","0,997781","0,672414","-2,52051","-3,66738"
59,"440,136","439,5","-4,30777","25,4955","1,96996","0,234834","25,8541","34,5456","1,85674","0,998003","0,677966","-2,73815","-3,72481"
60,"441,667","441,044","-4,27622","25,7417","1,97096","0,236478","26,1794","35,014","1,83638","0,998203","0,683333","-2,7474","-3,72702"
61,"443,109","442,5","-4,31023","26,1838","1,96678","0,235657","26,3172","34,4422","1,81033","0,998383","0,688525","-2,73444","-3,72392"
62,"444,319","443,723","-4,31827","26,8335","1,96802","0,234374","26,6252","34,668","1,78947","0,998544","0,693548","-2,73356","-3,72371"
63,"445,667","445,083","-4,24151","26,984","1,97475","0,242822","26,5272","34,4332","1,76852","0,99869","0,698413","-2,7308","-3,72304"
64,"446,98","446,408","-4,26874","26,9374","1,97327","0,240982","26,194","33,646","1,74402","0,998821","0,703125","-2,70417","-3,71654"
65,"448,14","447,58","-4,29378","26,8501","1,96922","0,239222","26,1178","33,2951","1,72262","0,998939","0,707692","-2,68922","-3,71283"
66,"446,647","446,098","-4,28396","26,7407","1,97242","0,238949","26,2489","33,6166","1,70087","0,999045","0,712121","-2,68733","-3,71235"
67,"445,212","444,673","-4,30975","26,6697","1,96945","0,238162","26,3209","33,6635","1,69882","0,99914","0,716418","-2,68094","-3,71075"
68,"446,491","445,962","-4,32465","26,7414","1,96618","0,240421","26,5092","34,0266","1,69451","0,999226","0,720588","-2,68374","-3,71145"
69,"447,648","447,13","-4,26663","26,7607","1,97495","0,241839","26,3191","33,6225","1,6848","0,999304","0,724638","-2,67999","-3,71051"
70,"448,636","448,127","-4,28117","26,6852","1,97564","0,241545","26,0717","32,9759","1,66467","0,999373","0,728571","-2,66054","-3,70556"
71,"449,536","449,036","-4,31241","26,5929","1,97253","0,239991","26,0339","32,9171","1,65205","0,999436","0,71831","-2,66193","-3,70592"
72,"450,596","450,105","-4,34494","26,4577","1,97069","0,237722","25,9369","32,4365","1,64081","0,999492","0,708333","-2,6607","-3,7056"
73,"451,207","450,724","-4,38239","26,3998","1,96489","0,23619","26,1351","32,8946","1,62358","0,999543","0,69863","-2,66894","-3,70771"
74,"451,492","451,017","-4,41843","26,3583","1,96105","0,235387","25,9665","32,7629","1,6078","0,999589","0,702703","-2,64962","-3,70275"
75,"450,717","450,25","-4,45469","26,2721","1,95596","0,238364","25,7912","32,4564","1,59075","0,99963","0,693333","-2,63882","-3,69994"
76,"450,717","450,25","-4,48765","26,1493","1,95179","0,237814","25,6215","32,1569","1,57421","0,999667","0,684211","-2,62994","-3,69761"
77,"450,717","450,25","-4,49199","25,9968","1,95083","0,237611","25,5723","32,1089","1,55948","0,9997","0,688312","-2,62104","-3,69526"
78,"450,717","450,25","-4,49929","25,8583","1,95185","0,235832","25,5077","32,0265","1,54553","0,99973","0,692308","-2,61188","-3,69281"
79,"451,508","451,049","-4,52419","25,7868","1,94987","0,236781","25,6252","32,1588","1,53133","0,999757","0,683544","-2,61957","-3,69486"
80,"450,339","449,887","-4,55905","25,7979","1,94481","0,235585","25,6878","32,3824","1,51738","0,999782","0,675","-2,6188","-3,69466"
81,"450,339","449,887","-4,5923","25,7823","1,94053","0,233819","25,6015","32,0972","1,50301","0,999803","0,666667","-2,61209","-3,69287"
82,"450,339","449,887","-4,61792","25,739","1,93673","0,232418","25,5099","31,9557","1,48983","0,999823","0,658537","-2,6069","-3,69148"
83,"450,339","449,887","-4,63914","25,634","1,93317","0,232481","25,4371","31,8186","1,47649","0,999841","0,650602","-2,60365","-3,6906"
