frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
49,"738,898","738,673","-6,63927","30,9096","1,81371","0,246019","30,9726","45,6631","0,546772","0,994274","0,673469","-1,14333","-2,96482"
50,"739,16","738,94","-6,68766","30,8221","1,80779","0,244755","30,6934","44,6572","0,537496","0,994846","0,66","-1,10492","-2,93496"
51,"738,647","738,431","-6,72466","30,8004","1,80305","0,244359","30,8148","45,9847","0,537795","0,995362","0,647059","-1,11312","-2,94138"
52,"737,673","737,462","-6,75496","30,7012","1,79583","0,243659","30,6379","46,3215","0,528743","0,995825","0,653846","-1,11759","-2,94488"
53,738,"737,792","-6,7385","30,615","1,79302","0,243851","30,6211","46,7186","0,536219","0,996243","0,660377","-1,12927","-2,95396"
54,"738,5","738,296","-6,75019","30,5867","1,79413","0,240665","30,5967","46,0611","0,542708","0,996619","0,648148","-1,10985","-2,93883"
55,"738,982","738,782","-6,78927","30,4865","1,78687","0,239949","30,4204","45,5685","0,538659","0,996957","0,636364","-1,08272","-2,91743"
56,"739,464","739,268","-6,80686","30,4032","1,78208","0,241535","30,3202","45,1891","0,530169","0,997261","0,642857","-1,07541","-2,91163"
57,"739,789","739,579","-6,83367","30,2586","1,77681","0,24239","30,0401","44,628","0,529784","0,997535","0,631579","-1,04919","-2,8906"
58,"740,034","739,828","-6,85904","30,1587","1,77358","0,240591","30,2044","44,9745","0,530301","0,997781","0,62069","-1,04989","-2,89116"
59,"740,339","740,136","-6,89147","30,0605","1,7694","0,239043","30,0464","44,6862","0,526779","0,998003","0,610169","-1,02664","-2,87231"
60,"739,117","738,917","-6,84208","30,0627","1,77644","0,237091","30,3488","45,8659","0,625889","0,998203","0,616667","-1,11156","-2,94016"
61,"739,41","739,213","-6,8623","30,2145","1,77897","0,233843","30,6183","44,978","0,619469","0,998383","0,606557","-1,09654","-2,92836"
62,"739,71","739,516","-6,89461","30,3013","1,77349","0,234423","30,5717","43,9553","0,612859","0,998544","0,612903","-1,08249","-2,91725"
63,"740,016","739,825","-6,88406","30,4229","1,774","0,233667","30,5345","43,2992","0,604705","0,99869","0,619048","-1,0705","-2,9077"
64,"739,531","739,344","-6,89945","30,4479","1,77625","0,233413","30,4855","43,1007","0,60305","0,998821","0,609375","-1,06052","-2,89972"
65,"739,785","739,6","-6,92995","30,4236","1,77331","0,231528","30,5139","42,7668","0,601356","0,998939","0,6","-1,04628","-2,88825"
66,"739,697","739,515","-6,9086","30,45","1,77498","0,22951","30,6777","42,3091","0,602742","0,999045","0,606061","-1,05638","-2,89639"
67,"739,328","739,149","-6,91747","30,5073","1,77495","0,228077","30,7664","42,3959","0,602628","0,99914","0,61194","-1,0656","-2,90379"
68,"738,985","738,809","-6,94363","30,5121","1,77009","0,226621","30,5263","41,9788","0,596467","0,999226","0,617647","-1,05223","-2,89305"
69,"739,203","739,029","-6,93103","30,5061","1,76825","0,226325","30,507","41,4589","0,589727","0,999304","0,623188","-1,04792","-2,88958"
70,"739,5","739,329","-6,9481","30,4354","1,76874","0,227488","30,3682","41,0906","0,592969","0,999373","0,628571","-1,04354","-2,88604"
71,"739,803","739,634","-6,98105","30,3237","1,76418","0,226095","30,2298","40,8282","0,587834","0,999436","0,619718","-1,02278","-2,86916"
72,"740,042","739,875","-7,01716","30,2041","1,75885","0,224335","29,9835","40,6031","0,582816","0,999492","0,611111","-0,996768","-2,84778"
73,"740,288","740,123","-7,02566","30,102","1,75671","0,225824","30,0458","40,7075","0,578658","0,999543","0,616438","-1,00544","-2,85493"
74,"740,527","740,365","-7,04595","30,0248","1,75333","0,224305","30,0315","40,9361","0,576153","0,999589","0,621622","-1,00684","-2,85609"
75,"740,813","740,653","-7,04471","29,9803","1,75207","0,223067","30,0484","41,1958","0,572879","0,99963","0,626667","-1,00981","-2,85853"
76,"741,105","740,947","-7,06463","29,9652","1,74842","0,221411","29,9192","41,1788","0,577866","0,999667","0,618421","-0,993273","-2,84488"
77,"741,506","741,351","-7,0907","29,9392","1,74337","0,220814","29,931","42,0976","0,576507","0,9997","0,61039","-0,98827","-2,84073"
78,"741,769","741,615","-7,11227","29,8881","1,73929","0,219795","29,8068","42,0263","0,572161","0,99973","0,602564","-0,969694","-2,82525"
79,"741,987","741,835","-7,12028","29,8372","1,73528","0,218697","29,8183","42,1225","0,570728","0,999757","0,594937","-0,962457","-2,81918"
80,"742,2","742,05","-7,1259","29,7846","1,7319","0,21949","29,6972","42,2304","0,567303","0,999782","0,6","-0,959317","-2,81654"
81,"742,42","742,272","-7,15293","29,6927","1,72751","0,219233","29,5224","41,9184","0,563315","0,999803","0,592593","-0,938645","-2,79907"
82,"742,378","742,232","-7,17775","29,5904","1,72397","0,218473","29,3528","41,9571","0,560614","0,999823","0,585366","-0,923611","-2,78626"
83,"742,325","742,181","-7,16795","29,5083","1,72409","0,218629","29,4624","42,3077","0,571673","0,999841","0,590361","-0,945259","-2,80468"
84,"742,595","742,452","-7,18016","29,4398","1,7213","0,217502","29,409","42,0295","0,57031","0,999857","0,583333","-0,931861","-2,7933"
85,"742,835","742,694","-7,19262","29,389","1,71933","0,216171","29,32","41,9551","0,569997","0,999871","0,576471","-0,917739","-2,78124"
86,"742,686","742,547","-7,21537","29,3595","1,71642","0,21483","29,2488","41,7564","0,566363","0,999884","0,569767","-0,904784","-2,77011"
87,"742,851","742,713","-7,20604","29,3036","1,71591","0,215225","29,2299","41,816","0,569229","0,999896","0,574713","-0,910714","-2,77521"
88,"742,898","742,761","-7,21224","29,2487","1,71403","0,214804","29,1761","41,2564","0,565842","0,999906","0,579545","-0,906741","-2,7718"
89,"742,461","742,326","-7,22324","29,2135","1,71168","0,213797","29,1731","41,2919","0,562943","0,999915","0,58427","-0,913053","-2,77722"
90,"742,622","742,489","-7,23835","29,1952","1,7089","0,2137","29,171","41,0813","0,560921","0,999924","0,577778","-0,903419","-2,76894"
91,"742,769","742,637","-7,26082","29,174","1,70504","0,2135","29,1363","40,9592","0,558211","0,999931","0,571429","-0,891947","-2,75903"
92,"742,12","741,989","-7,27994","29,1476","1,70272","0,212629","29,0633","41,3126","0,55908","0,999938","0,565217","-0,890401","-2,75769"
93,"742,215","742,086","-7,27671","29,1343","1,70134","0,211573","29,1143","41,2068","0,557404","0,999944","0,569892","-0,89453","-2,76126"
94,"742,319","742,138","-7,28905","29,1193","1,69957","0,211039","29,1044","40,9594","0,559854","0,99995","0,56383","-0,886903","-2,75465"
95,"742,368","742,189","-7,30949","29,0785","1,69674","0,210023","28,9679","40,8828","0,557383","0,999955","0,557895","-0,870864","-2,74069"
96,"741,76","741,583","-7,33293","29,0356","1,69259","0,20913","28,8907","40,8892","0,555722","0,99996","0,552083","-0,865785","-2,73624"
97,"741,165","740,99","-7,33729","28,9853","1,69174","0,208671","28,9001","41,1378","0,559867","0,999964","0,546392","-0,871888","-2,74158"
98,"741,306","741,133","-7,34459","28,9445","1,6882","0,210544","28,9343","41,4252","0,557281","0,999967","0,55102","-0,880207","-2,74883"
99,"741,263","741,091","-7,36358","28,928","1,6858","0,209771","28,9049","41,2947","0,555894","0,99997","0,555556","-0,879614","-2,74832"
100,"741,2","741,03","-7,37438","28,9135","1,68238","0,209803","28,8449","40,8981","0,552354","0,999973","0,55","-0,867779","-2,73799"
101,"741,059","740,891","-7,38456","28,8788","1,68038","0,208854","28,7751","40,8438","0,550289","0,999976","0,544554","-0,858758","-2,73008"
102,"741,01","740,843","-7,39076","28,8328","1,6788","0,207457","28,7526","40,9729","0,548678","0,999978","0,54902","-0,861435","-2,73243"
103,"740,447","740,282","-7,4108","28,8029","1,67583","0,207322","28,7941","41,3283","0,546398","0,999981","0,543689","-0,866132","-2,73655"
104,"740,077","739,913","-7,40621","28,7924","1,67398","0,20641","28,809","41,3312","0,545321","0,999983","0,548077","-0,873558","-2,74304"
105,"740,124","739,962","-7,41338","28,7933","1,67283","0,206372","28,7806","41,1424","0,543895","0,999984","0,542857","-0,864725","-2,73532"
106,"740,085","739,925","-7,41951","28,8004","1,67405","0,204995","28,7815","41,3629","0,542868","0,999986","0,54717","-0,86756","-2,7378"
107,"740,019","739,86","-7,43254","28,7838","1,67019","0,204578","28,7354","41,0484","0,539724","0,999987","0,542056","-0,857163","-2,72868"
108,"740,25","740,093","-7,4164","28,8111","1,67438","0,2035","28,9139","41,5586","0,550807","0,999989","0,546296","-0,876383","-2,7455"
109,"740,505","740,349","-7,4103","28,848","1,67624","0,205969","28,9197","41,5311","0,557084","0,99999","0,550459","-0,881831","-2,75025"
110,"740,727","740,573","-7,41776","28,9056","1,67815","0,20727","28,9966","41,6985","0,558906","0,999991","0,545455","-0,880973","-2,7495"
111,"740,279","740,126","-7,43727","28,9786","1,67558","0,206264","28,9944","41,7605","0,556918","0,999992","0,540541","-0,876109","-2,74526"
112,"740,393","740,241","-7,43693","28,998","1,67439","0,205789","28,9962","42,1375","0,559098","0,999992","0,535714","-0,873736","-2,74319"
113,"740,504","740,354","-7,44653","28,9953","1,67476","0,204891","28,9149","42,1843","0,557467","0,999993","0,530973","-0,861979","-2,73291"
114,"740,658","740,509","-7,4633","28,9532","1,6724","0,204339","28,807","42,1149","0,555129","0,999994","0,526316","-0,848443","-2,72101"
115,"740,8","740,652","-7,46026","28,9239","1,67066","0,204981","28,8668","42,1542","0,554198","0,999995","0,530435","-0,855885","-2,72756"
116,"740,974","740,828","-7,4646","28,8971","1,67018","0,206486","28,8794","42,3476","0,553731","0,999995","0,534483","-0,861544","-2,73253"
117,"741,137","740,991","-7,48028","28,8674","1,66726","0,206415","28,7946","42,3478","0,552106","0,999996","0,529915","-0,850384","-2,72272"
118,"741,271","741,127","-7,47579","28,8781","1,66665","0,206243","28,8609","42,5441","0,553686","0,999996","0,533898","-0,858252","-2,72964"
119,"741,311","741,168","-7,47522","28,8615","1,66541","0,205273","28,8041","42,419","0,554653","0,999996","0,537815","-0,856864","-2,72842"
120,"741,333","741,192","-7,49124","28,8338","1,66469","0,204493","28,7635","42,5228","0,555659","0,999997","0,533333","-0,850689","-2,72299"
121,"740,917","740,777","-7,50917","28,8178","1,66254","0,203898","28,7283","42,7516","0,554147","0,999997","0,528926","-0,848681","-2,72122"
122,"740,443","740,303","-7,50429","28,7746","1,66129","0,20378","28,6672","42,502","0,552736","0,999997","0,532787","-0,852077","-2,72421"
123,"740,496","740,358","-7,51322","28,732","1,65968","0,203099","28,6153","42,4125","0,551118","0,999998","0,536585","-0,850305","-2,72265"
124,"740,677","740,532","-7,52495","28,7028","1,66043","0,202567","28,6425","42,5087","0,552246","0,999998","0,532258","-0,847393","-2,72008"
125,"740,88","740,736","-7,53812","28,6725","1,65736","0,202633","28,6067","42,3532","0,555162","0,999998","0,528","-0,840284","-2,71381"
126,"740,984","740,841","-7,51894","28,658","1,65731","0,207715","28,6126","42,3273","0,556632","0,999998","0,531746","-0,850204","-2,72256"
127,"741,094","740,953","-7,52594","28,6437","1,65731","0,207058","28,5628","41,9841","0,554582","0,999998","0,527559","-0,838646","-2,71236"
128,"741,18","741,039","-7,53953","28,6265","1,65525","0,206478","28,5756","42,0503","0,553608","0,999999","0,523438","-0,834404","-2,7086"
129,"741,31","741,171","-7,536","28,6346","1,65546","0,206079","28,6433","42,1961","0,555813","0,999999","0,527132","-0,841869","-2,71521"
130,"741,438","741,3","-7,53974","28,645","1,65453","0,205788","28,6601","42,1598","0,554671","0,999999","0,523077","-0,836738","-2,71067"
131,"741,573","741,435","-7,54825","28,6633","1,65274","0,205147","28,6393","42,3699","0,553554","0,999999","0,519084","-0,830124","-2,7048"
132,"741,712","741,576","-7,54538","28,7124","1,65431","0,204998","28,7694","42,68","0,554646","0,999999","0,522727","-0,840693","-2,71417"
133,"741,85","741,714","-7,5591","28,7466","1,65302","0,204353","28,7853","42,315","0,552171","0,999999","0,518797","-0,830819","-2,70542"
134,"741,97","741,836","-7,57679","28,7617","1,64977","0,203925","28,7344","42,2359","0,550501","0,999999","0,514925","-0,820125","-2,6959"
135,"742,089","741,956","-7,57912","28,774","1,64859","0,203717","28,7055","42,1417","0,548942","0,999999","0,518519","-0,818143","-2,69414"
136,"742,022","741,89","-7,58098","28,7449","1,64675","0,204424","28,6442","42,1692","0,548097","0,999999","0,514706","-0,813379","-2,68988"
137,"741,956","741,825","-7,59318","28,716","1,64447","0,203712","28,6588","42,4776","0,549846","0,999999","0,510949","-0,814242","-2,69065"
138,"741,594","741,457","-7,59484","28,6983","1,64282","0,203363","28,6606","42,5081","0,550558","0,999999","0,514493","-0,821605","-2,69722"
139,"741,525","741,388","-7,57944","28,6829","1,64432","0,202604","28,6409","42,6068","0,577776","0,999999","0,517986","-0,837251","-2,71112"
140,"741,457","741,321","-7,58679","28,692","1,64468","0,202275","28,6855","42,796","0,575774","0,999999","0,521429","-0,842722","-2,71596"
141,"741,39","741,255","-7,6022","28,6784","1,64281","0,201502","28,6125","42,5854","0,577542","0,999999","0,51773","-0,833855","-2,70811"
142,"741,507","741,373","-7,59778","28,6696","1,64223","0,201138","28,633","42,6979","0,578221","0,999999","0,521127","-0,838117","-2,71189"
143,"741,664","741,531","-7,59835","28,6691","1,64264","0,201237","28,6478","42,6729","0,580748","0,999999","0,524476","-0,841211","-2,71462"
144,"741,819","741,681","-7,60343","28,6586","1,64263","0,200986","28,6457","42,7676","0,580751","0,999999","0,527778","-0,84269","-2,71593"
145,"741,745","741,607","-7,61518","28,6441","1,64066","0,202007","28,5645","42,7177","0,585217","0,999999","0,524138","-0,837861","-2,71166"
146,"741,671","741,534","-7,60645","28,6387","1,64152","0,201648","28,6244","42,8048","0,587741",1,"0,527397","-0,847007","-2,71974"
147,"741,721","741,585","-7,60872","28,6293","1,64198","0,205351","28,6223","42,6396","0,586671",1,"0,530612","-0,85128","-2,72351"
148,"741,77","741,635","-7,61805","28,6207","1,64125","0,205146","28,6229","42,6968","0,584944",1,"0,527027","-0,847011","-2,71975"
149,"741,805","741,671","-7,63233","28,626","1,6385","0,204668","28,5908","42,5518","0,582837",1,"0,52349","-0,8384","-2,71214"
150,"741,573","741,44","-7,63168","28,6105","1,63821","0,204842","28,5647","42,396","0,58071",1,"0,526667","-0,840365","-2,71388"
151,"741,748","741,616","-7,62325","28,5951","1,63902","0,205604","28,5624","42,4157","0,584061",1,"0,529801","-0,844487","-2,71752"
152,"741,914","741,783","-7,62347","28,5787","1,63904","0,205724","28,5581","42,1387","0,582385",1,"0,532895","-0,8431","-2,71629"
153,"741,967","741,837","-7,63561","28,5659","1,63679","0,204913","28,5404","42,2179","0,581293",1,"0,529412","-0,837604","-2,71143"
154,"741,994","741,864","-7,63532","28,5455","1,63637","0,205007","28,4851","42,0416","0,579651",1,"0,525974","-0,829969","-2,70466"
155,"741,935","741,806","-7,63863","28,5269","1,63495","0,20484","28,49","42,2028","0,579496",1,"0,522581","-0,829422","-2,70418"
156,"742,077","741,942","-7,65096","28,4886","1,63278","0,203971","28,3975","42,0058","0,577441",1,"0,519231","-0,816911","-2,69304"
157,"742,217","742,083","-7,65827","28,4396","1,63061","0,2041","28,327","41,8632","0,575473",1,"0,515924","-0,8079","-2,68498"
158,"742,259","742,127","-7,63988","28,4005","1,63223","0,20669","28,3221","41,9435","0,579151",1,"0,518987","-0,816948","-2,69307"
159,"742,302","742,17","-7,63729","28,3603","1,63392","0,20976","28,3188","41,7644","0,580959",1,"0,522013","-0,822819","-2,6983"
160,"742,344","742,212","-7,64702","28,3405","1,63275","0,209443","28,323","41,9849","0,580689",1,"0,51875","-0,821106","-2,69678"
161,"742,317","742,186","-7,65044","28,3288","1,63087","0,209128","28,2795","41,8811","0,578729",1,"0,515528","-0,814363","-2,69076"
162,"742,29","742,16","-7,65827","28,3093","1,62923","0,209533","28,2381","41,8961","0,577375",1,"0,512346","-0,809507","-2,68642"
163,"742,264","742,135","-7,66942","28,2877","1,62705","0,209306","28,2245","41,9759","0,576804",1,"0,509202","-0,806453","-2,68368"
164,"742,238","742,11","-7,68072","28,2529","1,62453","0,20898","28,1675","41,9111","0,575371",1,"0,506098","-0,799618","-2,67755"
165,"742,327","742,2","-7,66776","28,2324","1,62745","0,208373","28,1942","42,0624","0,602886",1,"0,509091","-0,816648","-2,6928"
166,"742,416","742,289","-7,66279","28,2154","1,62964","0,209025","28,1707","42,0906","0,603413",1,"0,512048","-0,818499","-2,69445"
167,"742,455","742,329","-7,67281","28,1933","1,62782","0,208792","28,1294","41,866","0,601588",1,"0,508982","-0,810483","-2,68729"
168,"742,494","742,363","-7,68546","28,1741","1,62614","0,208365","28,078","41,8173","0,601029",1,"0,505952","-0,803155","-2,68073"
169,"742,396","742,266","-7,69164","28,1453","1,62434","0,208377","28,0571","41,6497","0,599175",1,"0,502959","-0,798963","-2,67696"
170,"742,488","742,359","-7,70067","28,1161","1,62251","0,208261","28,0291","41,6803","0,597978",1,"0,5","-0,793807","-2,67232"
171,"742,561","742,433","-7,70999","28,0984","1,62074","0,208364","28,0508","41,9629","0,5975",1,"0,497076","-0,793963","-2,67246"
172,"742,209","742,081","-7,7179","28,0995","1,61926","0,207799","28,0867","42,3118","0,597903",1,"0,494186","-0,798897","-2,6769"
173,"742,185","742,052","-7,7241","28,1057","1,61739","0,207274","28,0868","42,1827","0,595935",1,"0,491329","-0,794043","-2,67253"
174,"742,19","742,057","-7,72883","28,1101","1,61679","0,2069","28,0552","42,0937","0,595098",1,"0,488506","-0,787819","-2,66692"
175,"742,189","742,057","-7,72975","28,1026","1,61568","0,206474","28,0264","42,1746","0,594322",1,"0,485714","-0,783707","-2,66321"
176,"741,892","741,761","-7,72737","28,1005","1,61466","0,206083","28,0834","42,6505","0,593324",1,"0,482955","-0,790817","-2,66963"
177,"741,898","741,768","-7,73019","28,0963","1,61361","0,20598","28,075","42,6467","0,592212",1,"0,480226","-0,787345","-2,6665"
178,"741,904","741,775","-7,73986","28,0987","1,61132","0,205597","28,0695","42,707","0,590587",1,"0,477528","-0,783436","-2,66296"
179,"741,821","741,693","-7,74566","28,1276","1,61092","0,205082","28,1402","43,3419","0,591202",1,"0,47486","-0,789405","-2,66835"
180,"741,533","741,406","-7,75393","28,1233","1,60898","0,204821","28,0834","43,1999","0,589491",1,"0,472222","-0,784141","-2,6636"
181,"741,635","741,508","-7,74635","28,1161","1,61051","0,204624","28,0653","43,1969","0,593412",1,"0,469613","-0,781874","-2,66155"
182,"741,753","741,626","-7,7437","28,0965","1,60978","0,205126","28,0054","43,0583","0,592896",1,"0,472527","-0,779514","-2,65942"
183,"741,825","741,699","-7,75092","28,0638","1,60946","0,204842","28,0007","43,0179","0,592121",1,"0,469945","-0,775947","-2,65618"
184,"741,832","741,707","-7,75584","28,0422","1,60855","0,204273","27,99","42,9657","0,591201",1,"0,467391","-0,7721","-2,65269"
185,"741,951","741,827","-7,75969","28,0184","1,60765","0,207628","27,9575","43,0857","0,589883",1,"0,47027","-0,775515","-2,65579"
186,"742,075","741,952","-7,76665","27,9997","1,60607","0,207127","27,9195","43,1573","0,588453",1,"0,467742","-0,769295","-2,65015"
187,"742,198","742,075","-7,77653","27,9786","1,60429","0,207182","27,9028","43,4047","0,588689",1,"0,465241","-0,766885","-2,64796"
188,"742,309","742,186","-7,77471","27,9747","1,60429","0,20717","27,9813","43,806","0,589604",1,"0,462766","-0,772205","-2,65279"
189,"742,418","742,291","-7,7809","27,9762","1,60297","0,207114","27,9719","43,6504","0,587898",1,"0,460317","-0,766222","-2,64735"
190,"742,342","742,211","-7,78541","27,9786","1,60243","0,206622","27,9387","43,5518","0,58647",1,"0,457895","-0,760646","-2,64227"
191,"742,466","742,335","-7,79395","27,9756","1,60058","0,20692","27,9027","43,4662","0,585336",1,"0,455497","-0,753917","-2,63613"
192,"742,469","742,333","-7,7951","27,9658","1,60193","0,20642","27,9417","43,8001","0,589027",1,"0,453125","-0,757927","-2,63979"
193,"742,306","742,171","-7,80104","27,9553","1,60122","0,206171","27,9293","43,7121","0,587624",1,"0,450777","-0,755249","-2,63735"
194,"742,273","742,139","-7,80666","27,9632","1,60132","0,205963","27,9783","43,9693","0,598046",1,"0,448454","-0,762202","-2,64369"
195,"742,092","741,959","-7,81389","27,9762","1,59977","0,205942","27,9613","43,7848","0,596299",1,"0,446154","-0,758117","-2,63997"
196,"741,776","741,643","-7,78816","27,9841","1,60216","0,205363","27,9784","43,7091","0,596139",1,"0,44898","-0,764975","-2,64622"
197,"741,878","741,746","-7,78165","27,9813","1,60377","0,204921","27,9242","43,5199","0,595045",1,"0,451777","-0,760949","-2,64255"
198,"741,975","741,843","-7,78626","27,9727","1,6051","0,204847","27,9447","43,5221","0,594718",1,"0,449495","-0,758945","-2,64072"
199,"741,683","741,553","-7,79234","27,9768","1,6033","0,204966","27,9859","43,5503","0,593608",1,"0,447236","-0,762076","-2,64358"
200,"741,795","741,665","-7,79785","27,9677","1,60216","0,205238","27,9474","43,5757","0,593887",1,"0,445","-0,757142","-2,63908"
201,"741,726","741,597","-7,80374","27,9678","1,60078","0,205216","27,9321","43,5753","0,593542",1,"0,442786","-0,754488","-2,63665"
202,"741,614","741,485","-7,80592","27,9495","1,59894","0,204815","27,869","43,431","0,592316",1,"0,445545","-0,752536","-2,63487"
203,"741,458","741,33","-7,81284","27,9114","1,5972","0,204245","27,7984","43,307","0,590745",1,"0,44335","-0,746369","-2,62922"
204,"741,353","741,225","-7,81976","27,8754","1,59638","0,204088","27,7741","43,3429","0,589545",1,"0,441176","-0,744275","-2,62731"
