frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
50,"713,72","713,72","5,27963","5,39885","3,07333","0,00690262","5,38557","7,2797","0,110305","0,994846",1,"-0,181636","-2,0702"
51,"713,647","713,647","5,27119","5,3992","3,07362","0,00687279","5,39764","7,3821","0,114026","0,995362",1,"-0,183403","-2,07204"
52,"711,654","711,654","5,26358","5,38375","3,0738","0,00703278","5,38797","7,30741","0,112683","0,995825",1,"-0,193578","-2,08262"
53,"712,453","712,453","5,2601","5,38997","3,07378","0,00710968","5,44122","7,40347","0,113437","0,996243",1,"-0,192507","-2,08151"
54,"712,852","712,852","5,25905","5,40482","3,07426","0,00704231","5,43825","7,29433","0,113061","0,996619",1,"-0,189648","-2,07854"
55,"713,182","713,182","5,25821","5,41324","3,07458","0,00695299","5,42924","7,27271","0,115102","0,996957",1,"-0,187552","-2,07635"
56,"714,107","714,107","5,2581","5,42668","3,07453","0,00693475","5,43765","7,24827","0,116915","0,997261",1,"-0,183117","-2,07174"
57,"714,825","714,825","5,25465","5,41541","3,0749","0,00681789","5,39773","7,16142","0,116162","0,997535",1,"-0,176517","-2,06486"
58,"715,5","715,5","5,25321","5,4135","3,07515","0,00696142","5,43135","7,15322","0,115756","0,997781",1,"-0,174586","-2,06285"
59,"716,203","716,203","5,2517","5,40372","3,07534","0,00706371","5,39641","7,06963","0,115094","0,998003",1,"-0,16857","-2,05658"
60,"714,183","714,183","5,24621","5,3959","3,07537","0,00702901","5,41053","7,03682","0,115017","0,998203",1,"-0,180328","-2,06883"
61,"713,803","713,803","5,24082","5,38544","3,07601","0,00694935","5,36112","6,96308","0,11517","0,998383",1,"-0,179322","-2,06779"
62,"714,5","714,5","5,23249","5,36622","3,07619","0,00688698","5,35064","6,93959","0,114793","0,998544",1,"-0,174529","-2,06279"
63,"712,587","712,587","5,22416","5,35516","3,07607","0,00698449","5,34922","6,94212","0,114516","0,99869",1,"-0,184839","-2,07353"
64,"712,062","712,062","5,21839","5,33373","3,07649","0,00700652","5,31479","6,88583","0,114563","0,998821",1,"-0,185585","-2,07431"
65,"712,738","712,738","5,21083","5,31123","3,07723","0,00693362","5,26133","6,8762","0,11384","0,998939",1,"-0,178497","-2,06693"
66,"710,909","710,909","5,20563","5,28591","3,07774","0,00690897","5,23389","6,81163","0,11404","0,999045",1,"-0,186807","-2,07558"
67,"710,97","710,97","5,19859","5,25655","3,07859","0,00681427","5,20394","6,77763","0,113228","0,99914",1,"-0,184333","-2,073"
68,"710,559","710,559","5,18981","5,23918","3,07936","0,00673723","5,23738","6,88607","0,113751","0,999226",1,"-0,188403","-2,07724"
69,"710,275","710,275","5,18163","5,23079","3,07971","0,00665632","5,22845","6,87046","0,11312","0,999304",1,"-0,18893","-2,07779"
70,"710,971","710,971","5,17618","5,223","3,08005","0,00668167","5,20481","6,80418","0,112352","0,999373",1,"-0,183276","-2,0719"
71,"711,662","711,662","5,17138","5,22263","3,08067","0,00684417","5,20914","6,82724","0,112816","0,999436",1,"-0,179639","-2,06812"
72,"712,292","712,292","5,16533","5,21917","3,08099","0,00677723","5,22334","7,06457","0,115131","0,999492",1,"-0,177713","-2,06611"
73,"712,918","712,918","5,15956","5,22683","3,08121","0,00673811","5,25946","7,11678","0,114831","0,999543",1,"-0,175982","-2,06431"
74,"713,514","713,514","5,15528","5,24516","3,08144","0,0067942","5,27476","7,32124","0,11491","0,999589",1,"-0,173838","-2,06207"
75,"714,16","714,16","5,1496","5,25956","3,08178","0,00672295","5,2671","7,39473","0,114502","0,99963",1,"-0,169591","-2,05765"
76,"714,776","714,776","5,1442","5,26593","3,08246","0,0066472","5,25199","7,43898","0,11414","0,999667",1,"-0,165054","-2,05291"
77,"715,39","715,39","5,13907","5,25801","3,08316","0,00656889","5,22585","7,40982","0,113192","0,9997",1,"-0,15976","-2,04739"
78,"715,962","715,962","5,12923","5,2439","3,0836","0,00650897","5,20947","7,40847","0,112701","0,99973",1,"-0,155257","-2,04269"
79,"715,582","715,582","5,12012","5,22925","3,08379","0,00658234","5,19869","7,4014","0,112006","0,999757",1,"-0,15631","-2,04379"
